,runtime
0,7.6299591064453125
1,7.334038734436035
2,8.204808473587036
3,7.279464483261108
4,8.456483364105225
5,6.515024662017822
6,7.501996040344238
7,6.605413198471069
8,7.124093055725098
9,8.448641538619995
10,6.7432355880737305
11,6.270000457763672
12,7.965769290924072
13,5.894014358520508
14,6.868886232376099
15,6.670064687728882
16,6.875471353530884
17,6.230993747711182
18,7.80718207359314
19,5.79958176612854
20,6.969768762588501
21,7.093536615371704
22,6.857453346252441
23,6.348546743392944
24,6.290189743041992
25,8.439990282058716
26,7.109863758087158
27,6.4833667278289795
28,6.207512378692627
29,6.565507888793945
