,runtime
0,7.605888366699219
1,7.231688022613525
2,8.352427244186401
3,7.190833330154419
4,8.472028017044067
5,6.536548137664795
6,7.4518516063690186
7,6.506911516189575
8,6.951874256134033
9,8.436562776565552
10,6.7200422286987305
11,6.08014178276062
12,8.023005962371826
13,5.862439393997192
14,6.957040309906006
15,6.58903694152832
16,6.631845235824585
17,6.17423677444458
18,7.736699819564819
19,6.031312465667725
20,7.183187246322632
21,6.882951021194458
22,6.65415096282959
23,6.314107656478882
24,6.488896608352661
25,8.339089393615723
26,7.066634178161621
27,6.4910054206848145
28,6.207663536071777
29,6.395718812942505
