,runtime
0,26.00183129310608
1,63.171502113342285
2,29.666409015655518
3,111.37249183654785
4,99.34136128425598
5,74.47770762443542
6,110.83530855178833
7,111.2941906452179
8,110.40140461921692
9,111.16683053970337
10,110.56606936454773
11,11.90741753578186
12,110.5638279914856
13,111.38356804847717
14,110.23912334442139
15,44.11772036552429
16,110.79294562339783
17,111.52106070518494
18,110.40089750289917
19,111.3894956111908
20,110.62273097038269
21,111.13398098945618
22,110.77222061157227
23,111.10721135139465
24,4.317534685134888
25,110.55423331260681
26,110.40108847618103
27,111.1786584854126
28,110.59342551231384
29,6.713751554489136
