,runtime
0,6.351755142211914
1,6.431708574295044
2,6.549149751663208
3,7.72736668586731
4,6.670105457305908
5,6.518767833709717
6,7.0490827560424805
7,6.375185489654541
8,6.268842697143555
9,6.137732982635498
10,8.246312856674194
11,6.842705249786377
12,6.304808855056763
13,7.0653674602508545
14,7.727170705795288
15,6.991642475128174
16,7.061158657073975
17,5.36702299118042
18,7.056067228317261
19,7.824944257736206
20,7.304281711578369
21,7.5621137619018555
22,7.052859306335449
23,6.131088733673096
24,6.098744869232178
25,5.946080207824707
26,6.971740007400513
27,6.6962807178497314
28,7.8851964473724365
29,6.328766584396362
