,runtime
0,7.725852012634277
1,7.3074846267700195
2,8.437624454498291
3,7.242223262786865
4,8.519176006317139
5,6.697399854660034
6,7.530778646469116
7,6.493792772293091
8,6.958705902099609
9,8.554044723510742
10,6.843257665634155
11,6.166920185089111
12,8.050358533859253
13,5.829856872558594
14,7.046293020248413
15,6.652742624282837
16,6.759042263031006
17,6.1697680950164795
18,7.751843452453613
19,5.908512353897095
20,7.092982292175293
21,6.9362547397613525
22,6.773988485336304
23,6.159505844116211
24,6.550962686538696
25,8.512428045272827
26,7.1391191482543945
27,6.39519190788269
28,6.239452123641968
29,6.459988594055176
