,runtime
0,6.3424973487854
1,6.4684271812438965
2,6.562579154968262
3,7.863435745239258
4,6.56302547454834
5,6.579431056976318
6,7.131431818008423
7,6.379992723464966
8,6.277635335922241
9,6.101694822311401
10,8.313007593154907
11,6.910924434661865
12,6.239300727844238
13,7.151679515838623
14,7.596580743789673
15,6.874275207519531
16,7.166468858718872
17,5.404924154281616
18,7.022543668746948
19,7.833076000213623
20,7.2163918018341064
21,7.61704421043396
22,7.017153739929199
23,6.054212808609009
24,6.209527492523193
25,5.9827775955200195
26,7.038321256637573
27,6.622693777084351
28,7.940526485443115
29,6.32431960105896
