,runtime
0,6.458547592163086
1,6.346559524536133
2,6.5383665561676025
3,7.7266576290130615
4,6.686333179473877
5,6.5315985679626465
6,6.982854127883911
7,6.384171485900879
8,6.3594207763671875
9,6.088123559951782
10,8.286171913146973
11,6.674371004104614
12,6.066389799118042
13,7.083197593688965
14,7.597408294677734
15,6.889278888702393
16,6.94299840927124
17,5.449918270111084
18,7.006417512893677
19,7.981526136398315
20,7.290360689163208
21,7.661595582962036
22,7.115977048873901
23,6.112936019897461
24,6.172307014465332
25,5.9177563190460205
26,7.054030179977417
27,6.72974157333374
28,7.920953750610352
29,6.435051202774048
