,runtime
0,25.759100675582886
1,63.044209003448486
2,29.699562311172485
3,111.19575095176697
4,98.88648819923401
5,73.97851824760437
6,110.10302734375
7,110.41375517845154
8,110.19483304023743
9,111.19968271255493
10,110.40785956382751
11,11.773892879486084
12,110.15123391151428
13,111.4510715007782
14,110.66602110862732
15,44.138476848602295
16,110.68381762504578
17,111.43468141555786
18,110.54498863220215
19,112.715811252594
20,110.48966646194458
21,111.10054969787598
22,110.43460416793823
23,110.7962121963501
24,4.348571300506592
25,110.94683337211609
26,110.50306510925293
27,111.72075080871582
28,110.77405786514282
29,6.71976375579834
