,runtime
0,7.691615343093872
1,7.310426712036133
2,8.256093740463257
3,7.244685888290405
4,8.59030294418335
5,6.474348545074463
6,7.408404350280762
7,6.5086774826049805
8,6.932779312133789
9,8.538809776306152
10,6.7151780128479
11,6.1558167934417725
12,8.012631177902222
13,5.924374103546143
14,6.929172515869141
15,6.424516677856445
16,6.589738607406616
17,6.341939926147461
18,7.702553033828735
19,5.9428181648254395
20,6.966945648193359
21,7.107525110244751
22,6.71592378616333
23,6.130720376968384
24,6.378497838973999
25,8.464102983474731
26,7.094942331314087
27,6.354603290557861
28,6.426678895950317
29,6.26211142539978
