,runtime
0,7.710608243942261
1,7.372387170791626
2,8.216953039169312
3,7.097270727157593
4,8.543730974197388
5,6.564532279968262
6,7.442107200622559
7,6.671324253082275
8,6.863729000091553
9,8.331387042999268
10,6.744262218475342
11,6.183234930038452
12,8.0999014377594
13,6.043596506118774
14,6.920302867889404
15,6.41298246383667
16,6.7445642948150635
17,6.343250274658203
18,7.758923053741455
19,5.982284307479858
20,7.022842645645142
21,6.998309373855591
22,6.867254972457886
23,6.277822256088257
24,6.415090560913086
25,8.51145339012146
26,7.085424423217773
27,6.3599019050598145
28,6.2899558544158936
29,6.388976573944092
